"dataset","position","candidate","localIdentity","source","witness","candidatePool","bootstrap","promotionEvaluatedA","promotionEvaluatedC","promotionClassA","promotionClassC","promotionScoresA","promotionScoresC","availableA","consideredA","reconstructionA","segmentA","availableC","consideredC","directValidityA","directValidityC","repairsA","repairsC","reconstructionC","segmentC","unionSegmentCount","reachesDInput","DPathCount","inBestGenerated","inFinalWinner","FIRST_LOSS_STAGE","category","EXACT_REASON"
"007","0","B169","BOTTOM:169","BOTH","true","true","true","false","false","Ac","Ac","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","true","14","2649","0","true","85","[[1,null],[2,null],[3,null],[4,null],[5,null]]","[[1,null],[2,null],[3,null],[4,null],[5,null]]","non exécuté","non exécuté","3402","0","0","true","200001","true","true","NONE","null","Present in final winner."
"007","1","T199","TOP:199","ORACLE_INJECTED","true","true","false","true","true","P","P","[{""cycle"":1,""score"":-0.41638225255972666,""rank"":2},{""cycle"":2,""score"":-0.4163822525597319,""rank"":2},{""cycle"":3,""score"":-0.4256585881410075,""rank"":2},{""cycle"":4,""score"":0.41568672230291576,""rank"":1},{""cycle"":5,""score"":-0.12048434608316205,""rank"":2}]","[{""cycle"":1,""score"":-0.41638225255972666,""rank"":2},{""cycle"":2,""score"":-0.4163822525597319,""rank"":2},{""cycle"":3,""score"":-0.4256585881410075,""rank"":2},{""cycle"":4,""score"":0.56400968215089,""rank"":1},{""cycle"":5,""score"":0.5119824441261347,""rank"":1}]","true","27","145","29","true","123","[[1,true],[2,true],[3,true],[4,true],[5,true]]","[[1,true],[2,true],[3,true],[4,true],[5,true]]","non exécuté","non exécuté","309","72","77","true","71828","true","true","NONE","null","Present in final winner."
"007","2","B262","BOTTOM:262","ORACLE_INJECTED","true","true","false","true","true","R+Q","R+Q","[{""cycle"":1,""score"":0.37077967389403776,""rank"":12},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":0.37077967389403776,""rank"":12},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","true","14","4","4","true","36","[[1,true],[2,false],[3,false],[4,false],[5,false]]","[[1,true],[2,false],[3,false],[4,false],[5,false]]","c2:0; c3:0; c4:0; c5:4","c2:0; c3:0; c4:4; c5:4","56","12","12","true","0","false","false","UNKNOWN","NOT_COMPOSED_BY_D","12 exported B262 segments stop at slot 3. Bootstrap slot 4=B299 gives 299-262=37<45. No earlier compatible segment can change slot 4. Ordered composition + intermediate validity excludes B262 even without the guard. Earliest irreversible instruction between final reconstruction/extraction/D admission is not established; FIRST_LOSS remains UNKNOWN, not LOW_RANK or D_GUARD."
"007","3","T291","TOP:291","BOTH","true","true","true","true","true","Ac+P+R","Ac+R+P","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":-0.14383121923868847,""rank"":3}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":-0.14514842927110605,""rank"":4},{""cycle"":5,""score"":0.10137741262918287,""rank"":3}]","true","247","708","109","true","291","[[1,null],[2,null],[3,null],[4,null],[5,true]]","[[1,null],[2,null],[3,null],[4,true],[5,true]]","non exécuté","non exécuté","415","97","151","true","92135","true","true","NONE","null","Present in final winner."
"007","4","B353","BOTTOM:353","ORACLE_INJECTED","true","true","false","true","true","P+R+Ac","P+R+Ac","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":0.7515916133364602,""rank"":3},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":1.3569485171881355,""rank"":1},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":0.7515916133364602,""rank"":3},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","true","534","1071","88","true","1006","[[1,null],[2,true],[3,false],[4,true],[5,null]]","[[1,null],[2,true],[3,false],[4,null],[5,null]]","c3:0","c3:0","1606","91","158","true","54796","true","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"007","5","T383","TOP:383","ORACLE_INJECTED","true","true","false","true","true","P+R+Ac","P+R","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":0.5685157814492106,""rank"":3},{""cycle"":4,""score"":1.2418377734940265,""rank"":1},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":0.5685157814492106,""rank"":3},{""cycle"":4,""score"":1.5129443729589893,""rank"":1},{""cycle"":5,""score"":1.5361962240228455,""rank"":1}]","true","812","1109","88","true","871","[[1,null],[2,null],[3,true],[4,true],[5,null]]","[[1,null],[2,null],[3,true],[4,true],[5,true]]","non exécuté","non exécuté","425","71","117","true","39730","true","true","NONE","null","Present in final winner."
"007","6","B445","BOTTOM:445","ORACLE_INJECTED","true","true","false","true","true","R+P+Ac","R+P","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":0.7738383196555898,""rank"":4},{""cycle"":4,""score"":0.1337448559670782,""rank"":1},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":0.7738383196555898,""rank"":4},{""cycle"":4,""score"":1.4670781893004115,""rank"":1},{""cycle"":5,""score"":1.2777777777777777,""rank"":1}]","true","773","1299","68","true","699","[[1,null],[2,null],[3,true],[4,true],[5,null]]","[[1,null],[2,null],[3,true],[4,true],[5,true]]","non exécuté","non exécuté","475","129","150","true","58818","true","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"007","7","T474","TOP:474","ORACLE_INJECTED","true","true","false","true","true","P","P","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":1.3004115226337447,""rank"":1},{""cycle"":5,""score"":-0.03292181069958844,""rank"":1}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":1.3333333333333333,""rank"":1},{""cycle"":5,""score"":1.3333333333333333,""rank"":1}]","true","630","307","126","true","546","[[1,null],[2,null],[3,null],[4,true],[5,true]]","[[1,null],[2,null],[3,null],[4,true],[5,true]]","non exécuté","non exécuté","210","103","169","true","97360","true","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"007","8","B529","BOTTOM:529","ORACLE_INJECTED","true","true","false","true","true","P+R","P+R","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":1.0835607602715442,""rank"":2},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":1.4676708415535327,""rank"":2},{""cycle"":5,""score"":null,""rank"":null}]","true","190","9","6","true","157","[[1,null],[2,null],[3,null],[4,true],[5,false]]","[[1,null],[2,null],[3,null],[4,true],[5,false]]","c5:0","c5:0","32","29","29","true","39384","true","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"007","9","T558","TOP:558","ORACLE_INJECTED","true","true","false","true","true","Q","Q","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","true","5","5","5","true","10","[[1,null],[2,null],[3,null],[4,null],[5,false]]","[[1,null],[2,null],[3,null],[4,null],[5,false]]","c5:5","c5:5","35","28","28","true","37800","true","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
