"dataset","candidate","position","system","cycle","evaluated","prefixOpen","directValid","roles","score","rank","promotedThisCycle","repairs","repairPartners"
"007","B169","0","A","1","false","true","null","Active","null","null","false","null",""
"007","B169","0","A","2","false","true","null","Active","null","null","false","null",""
"007","B169","0","A","3","false","true","null","Active","null","null","false","null",""
"007","B169","0","A","4","false","true","null","Active","null","null","false","null",""
"007","B169","0","A","5","false","true","null","Active","null","null","false","null",""
"007","B169","0","C","1","false","true","null","Active","null","null","false","null",""
"007","B169","0","C","2","false","true","null","Active","null","null","false","null",""
"007","B169","0","C","3","false","true","null","Active","null","null","false","null",""
"007","B169","0","C","4","false","true","null","Active","null","null","false","null",""
"007","B169","0","C","5","false","true","null","Active","null","null","false","null",""
"007","T199","1","A","1","true","true","true","Promising","-0.41638225255972666","2","true","null",""
"007","T199","1","A","2","true","true","true","Promising","-0.4163822525597319","2","true","null",""
"007","T199","1","A","3","true","true","true","Promising","-0.4256585881410075","2","true","null",""
"007","T199","1","A","4","true","true","true","Promising","0.41568672230291576","1","true","null",""
"007","T199","1","A","5","true","true","true","Promising","-0.12048434608316205","2","true","null",""
"007","T199","1","C","1","true","true","true","Promising","-0.41638225255972666","2","true","null",""
"007","T199","1","C","2","true","true","true","Promising","-0.4163822525597319","2","true","null",""
"007","T199","1","C","3","true","true","true","Promising","-0.4256585881410075","2","true","null",""
"007","T199","1","C","4","true","true","true","Promising","0.56400968215089","1","true","null",""
"007","T199","1","C","5","true","true","true","Promising","0.5119824441261347","1","true","null",""
"007","B262","2","A","1","true","true","true","Repair","0.37077967389403776","12","false","null",""
"007","B262","2","A","2","true","true","false","Repair","null","null","false","0",""
"007","B262","2","A","3","true","true","false","Repair","null","null","false","0",""
"007","B262","2","A","4","true","true","false","Repair","null","null","false","0",""
"007","B262","2","A","5","true","true","false","Repair+Conditional","null","null","false","4","3:T291; 3:T317; 3:T333; 3:T345"
"007","B262","2","C","1","true","true","true","Repair","0.37077967389403776","12","false","null",""
"007","B262","2","C","2","true","true","false","Repair","null","null","false","0",""
"007","B262","2","C","3","true","true","false","Repair","null","null","false","0",""
"007","B262","2","C","4","true","true","false","Repair+Conditional","null","null","false","4","3:T291; 3:T317; 3:T333; 3:T345"
"007","B262","2","C","5","true","true","false","Repair+Conditional","null","null","false","4","3:T291; 3:T317; 3:T333; 3:T345"
"007","T291","3","A","1","false","false","null","","null","null","false","null",""
"007","T291","3","A","2","false","true","null","Active","null","null","false","null",""
"007","T291","3","A","3","false","true","null","Active","null","null","false","null",""
"007","T291","3","A","4","false","true","null","Active","null","null","false","null",""
"007","T291","3","A","5","true","true","true","Promising+Repair","-0.14383121923868847","3","true","null",""
"007","T291","3","C","1","false","false","null","","null","null","false","null",""
"007","T291","3","C","2","false","true","null","Active","null","null","false","null",""
"007","T291","3","C","3","false","true","null","Active","null","null","false","null",""
"007","T291","3","C","4","true","true","true","Repair","-0.14514842927110605","4","false","null",""
"007","T291","3","C","5","true","true","true","Promising+Repair","0.10137741262918287","3","true","null",""
"007","B353","4","A","1","false","false","null","","null","null","false","null",""
"007","B353","4","A","2","true","true","true","Promising+Repair","0.7515916133364602","3","true","null",""
"007","B353","4","A","3","true","true","false","Promising+Repair","null","null","false","0",""
"007","B353","4","A","4","true","true","true","Promising+Repair","1.3569485171881355","1","true","null",""
"007","B353","4","A","5","false","true","null","Active+Promising+Repair","null","null","false","null",""
"007","B353","4","C","1","false","false","null","","null","null","false","null",""
"007","B353","4","C","2","true","true","true","Promising+Repair","0.7515916133364602","3","true","null",""
"007","B353","4","C","3","true","true","false","Promising+Repair","null","null","false","0",""
"007","B353","4","C","4","false","true","null","Active+Promising+Repair","null","null","false","null",""
"007","B353","4","C","5","false","true","null","Active+Promising+Repair","null","null","false","null",""
"007","T383","5","A","1","false","false","null","","null","null","false","null",""
"007","T383","5","A","2","false","false","null","","null","null","false","null",""
"007","T383","5","A","3","true","true","true","Promising+Repair","0.5685157814492106","3","true","null",""
