"orderCycle","target","position","logical","cycle","previousTargetsExpansions","currentTargetExpansions","currentTargetStates","cumulativeStates","structuralRejects","beamSurvivorsSum","completeUniqueSurvivors","generatedFullBeforeValidation","beamPruned","seeds"
"1","B231","0","B1","5","0","2150","2150","2150","1872","80","7","344","191","3"
"2","B249","0","B1","5","2150","2098","2098","4248","1846","78","3","373","171","3"
"3","B270","0","B1","5","4248","2046","2046","6294","1820","76","0","311","150","0"
"4","B271","0","B1","5","6294","1994","1994","8288","1785","74","0","296","135","0"
"5","B272","0","B1","5","8288","1994","1994","10282","1785","74","0","296","135","0"
"6","B291","0","B1","5","10282","1942","1942","12224","1751","72","0","296","119","0"
"7","B302","0","B1","5","12224","1942","1942","14166","1751","72","0","295","119","0"
"8","B311","0","B1","5","14166","1890","1890","16056","1716","70","0","269","104","0"
"9","B331","0","B1","5","16056","1890","1890","17946","1717","70","0","269","103","0"
"10","B348","0","B1","5","17946","1838","1838","19784","1682","68","0","241","88","0"
"11","B365","0","B1","5","19784","1786","1786","21570","1643","66","0","234","77","0"
"12","B384","0","B1","5","21570","1578","1578","23148","1488","58","0","162","32","0"
"13","B423","0","B1","5","23148","1526","1526","24674","1450","56","0","137","20","0"
"14","B436","0","B1","5","24674","1474","1474","26148","1410","54","0","122","10","0"
"15","B461","0","B1","5","26148","1202","1202","27350","1158","44","0","64","0","0"
"16","B476","0","B1","5","27350","1010","1010","28360","973","37","0","50","0","0"
"17","B501","0","B1","5","28360","734","734","29094","707","27","0","24","0","0"
"18","B502","0","B1","5","29094","734","734","29828","707","27","0","24","0","0"
"19","B532","0","B1","5","29828","326","326","30154","314","12","0","6","0","0"
"20","B545","0","B1","5","30154","270","270","30424","260","10","0","2","0","0"
"21","B560","0","B1","5","30424","162","162","30586","156","6","0","0","0","0"
"22","B578","0","B1","5","30586","110","110","30696","106","4","0","0","0","0"
"23","B599","0","B1","5","30696","58","58","30754","56","2","0","0","0","0"
"24","T318","1","T1","5","30754","3214","3214","33968","2874","136","0","590","204","0"
"25","T340","1","T1","5","33968","3266","3266","37234","2921","142","0","587","203","0"
"26","T360","1","T1","5","37234","3208","3208","40442","2906","142","0","479","160","0"
"27","T373","1","T1","5","40442","3262","3262","43704","2945","146","0","490","171","0"
"28","T374","1","T1","5","43704","3262","3262","46966","2945","146","0","490","171","0"
"29","T381","1","T1","5","46966","3206","3206","50172","2915","144","0","466","147","0"
"30","T390","1","T1","5","50172","3206","3206","53378","2915","144","0","466","147","0"
"31","T413","1","T1","5","53378","3260","3260","56638","2955","148","0","476","157","0"
"32","T431","1","T1","5","56638","3202","3202","59840","2939","148","0","378","115","0"
"33","T449","1","T1","5","59840","3256","3256","63096","2982","152","0","385","122","0"
"34","T463","1","T1","5","63096","2440","2440","65536","2191","146","0","292","103","0"
