"dataset","cycle","position","logical","candidate","originalIndex","type","oracleCorrectPosition","neighbors","structuralReasons","prefixFeasible","minAdditionalInPrefix","feasibleV2WindowIgnoringBeamBudget","windowProof","interpretation"
"007","1","0","B1","BOTTOM:210","210","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-15},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-15},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":18}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:228","228","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-33},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-33},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":0}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:243","243","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-48},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-48},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-15}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:260","260","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-65},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-65},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-32}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:262","262","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-67},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-67},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-34}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:299","299","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-104},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-104},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-71}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:321","321","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-126},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-126},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-93}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:346","346","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-151},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-151},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-118}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:353","353","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-158},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-158},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-125}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:391","391","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-196},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-196},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-163}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:405","405","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-210},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-210},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-177}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:426","426","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-231},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-231},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-198}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:438","438","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-243},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-243},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-210}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:445","445","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-250},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-250},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-217}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:450","450","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-255},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-255},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-222}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:480","480","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-285},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-285},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-252}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:500","500","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-305},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-305},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-272}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:511","511","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-316},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-316},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-283}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
"007","1","0","B1","BOTTOM:529","529","BOTTOM","false","[{""position"":1,""logical"":""T1"",""type"":""TOP"",""index"":195},{""position"":2,""logical"":""B2"",""type"":""BOTTOM"",""index"":228}]","[{""rule"":""ORDER"",""positions"":[0,1],""gap"":-334},{""rule"":""MIN_PHASE_8"",""positions"":[0,1],""gap"":-334},{""rule"":""MIN_REP_45"",""positions"":[0,2],""gap"":-301}]","true","2","false","null","REQUIRES_AT_LEAST_TWO_OTHER_CHANGES"
